year,export_quantity,import_quantity
1961,53.0,187800.0
1962,37.0,2.0
1963,90.0,256000.0
1964,91.0,298859.0
1965,26.0,559560.0
1966,20.0,108184.0
1967,0.0,290452.0
1968,36384.0,8.0
1969,347.0,10.0
1970,0.0,0.0
1971,0.0,370398.0
1972,0.0,455891.0
1973,0.0,336221.0
1974,1.0,166292.0
1975,6.0,134777.0
1976,0.0,55444.0
1977,14800.0,30874.0
1978,47345.0,0.0
1979,164706.0,24.0
1980,256390.0,3.0
1981,69272.0,13.0
1982,150.0,1.0
1983,40400.0,6.0
1984,1938.0,189718.0
1985,58.0,538150.0
1986,0.0,2057.0
1987,111500.0,29.0
1988,2.0,119187.0
1989,16000.0,195179.0
1990,2.0,592727.0
1991,10000.0,59.0
1992,35100.0,634.0
1993,1.0,201605.0
1994,0.0,1527.0
1995,0.0,263248.0
1996,0.0,866837.0
1997,0.0,722397.0
1998,1.0,2414000.0
1999,293.0,834378.0
2000,223.87,642233.04
2001,12.0,810903.0
2002,2.0,1196094.0
2003,3.0,886470.0
2004,113.0,1048030.0
2005,188.0,1812366.0
2006,14.0,1700336.0
2007,250.0,1793958.0
2008,233.0,2426634.0
2009,129.0,1752447.0
2010,45.0,2364744.0
2011,127.0,692246.0
2012,98.0,989050.0
2013,808.0,396461.0
2014,370.96,1070357.18
2015,157.89,1076677.72
2016,138.87,438378.03
2017,290.92,862993.06
2018,179.24,1755467.46
2019,300.19,2957567.97
2020,56.56,1859360.83
2021,90.53,2856013.61
2022,13.31,3060790.18
2023,11.58,2863937.72
